Cuvant	Derivat	Diminutiv	Comentariu	Sursa	Sufix
lăibăruț		1		laibăr	uț
lămpaș	A	0		lampă	aș
lămpișoară		1		lampă	ișoară
lămpiță		1		lampă	iță
lănțișor	1	1		lanț	ișor
lăptișor	1	1		lapte	ișor
lăstăraș	1	1		lăstar	aș
lăstărel	1	1		lăstar	el
lăstunaș	1	1		lăstun	aș
lăturaș	A	0		latură	aș
lățișor	1	1		laț	ișor
lefușoară		1		leafă	ușoară
legănaș	1	1		leagăn	aș
legănel	1	1		leagăn	el
legănuț		1		leagăn	uț
legăturică		1		legătură	ică
legistică		0		legist	ică
leiculiță		1		leică	uliță
leicușoară		1		leică	ușoară
lelișoară		1		lele	ișoară
lemnișor	1	1		lemn	ișor
lemnișor		1		lemn	ișor
leuaș	A	0	perceptor impozite	leu	aș
lighenaș	1	1		lighean	aș
limbariță		0		limbare	iță
lingurăriță	Fem	0		lingurar	iță
lingurică		1		lingură	ică
linguriță		1		lingură	iță
lingvistică		0		lingvist	ică
litiazic		0		litiază	ic
logodnic		0		logodnă	ic
logodnică		0		logodnă	ică
logofețel	1	1		logofăt	el
lombosciatică		0		sciatic	ică
lopățică		1		lopată	ică
lucrușor		1		lucru	ușor
lumânărică		1		lumânare	ică
luminiță		1		lumină	iță
lunculiță		1		luncă	uliță
luntraș	A	0		luntre	aș
luntrășiță	Fem	0		luntraș	iță
luntricică		1		luntre	icică
luntrișoară		1		luntre	ișoară
luntriță		1		luntre	iță
lupoaică	Fem	0		lup	ică
luptaș	A	0		luptă	aș
lutișor	1	1		lut	ișor
macaragiță	Fem	0		macaragiu	iță
magazinaș	1	1		magazin	aș
mahalagioaică		0		mahalagiu	ică
maimuțică		1		maimuță	ică
malaric		0		malar	ic
mangafache		1		mangafa	ache
mardeiaș	A	0		a mardi	aș
martinaș	1	1		martin	aș
matronimic		0		matronim	ic
mazilaș	1	1		mazil	aș
măduvioară		1		măduvă	ioară
măgăriță	Fem	0		măgar	iță
măgurică		1		măgură	ică
măiculiță		1		maică	uliță
măicușoară		1		maică	ușoară
mălăiaș	1	1		mălai	aș
mămițică		1		mămiță	ică
mămulică		1		mamă	ulică
mămuliță		1		mamă	uliță
mămușoară		1		mamă	ușoară
mănunchiaș	1	1		mănunchi	aș
mănunchiuleț		1		mănunchi	uleț
mărăcinaș	1	1		mărăcine	aș
mărăcinet		0		mărăcine	et
mărămioară		1		maramă	ioară
mărăraș	1	1		mărar	aș
mărfușoară		1		marfă	ușoară
mărgărităraș	1	1		mărgăritar	aș
mărgăritărel	1	1		mărgăritar	el
mărginaș	A	0		margine	aș
