Cuvant	Derivat	Diminutiv	Comentariu	Sursa	Sufix
șomoiogel	1	1		șomoiog	el
ștergărel	1	1		ștergar	el
șugărel	1	1	șugar (adj)	șugar	el
șurubel	1	1		șurub	el
tălgerel	1	1		talger	el
tinerel	1	1		tânăr	el
tocmăgel	1	1		tocmagi	el
toiegel	1	1		toiag	el
toporel	1	1		topor	el
torțel	1	1		tort	el
trandafirel	1	1		trandafir	el
tulburel	1	1	adj	turbure	el
turturel	1	1	turturea NOT IN DOOM3	turturea	el
țigănel	1	1		țigan	el
uncropel	1	1		uncrop	el
vălurel	1	1		val	urel
vătășel	1	1		vătaf	el
vânticel	1	1		vânt	icel
vânturel	1	1		vânt	urel
vergel	1	1		vergea	el
verigel	1	1		verigă	el
versurel	1	1		vers	urel
vinderel	1	1		vindereu	el
vistiernicel	1	1		vistiernic	el
vișinel	1	1		vișin	el
voinicel	1	1		voinic	el
volocel	1	1		voloc	el
vornicel	1	1		vornic	el
vrescurel	1	1		vreasc	urel
vulturel	1	1		vultur	el
zăhărel	1	1		zahăr	el
zărzărel	1	1		zarzăr	el
zăbunel	1	1	înv., pop.	zăbun	el
zidurel	1	1	zid + ur + el	zid	urel
zulufel	1	1		zuluf	el
albișor	1	1		alb	ișor
anișor	1	1		an	ișor
bețișor	1	1		băț	ișor
boldișor	1	1		bold	ișor
borșișor	1	1		borș	ișor
botișor	1	1		bot	ișor
boțișor	1	1		boț	ișor
brânișor	1	1		brână	ișor
brădișor	1	1		brad	ișor
brățișor	1	1		braț	ișor
bulzișor	1	1		bulz	ișor
bădișor	1	1		bade	ișor
bănișor	1	1		ban	ișor
cimbrișor	1	1		cimbru	ișor
cleștișor	1	1		clește	ișor
colțișor	1	1		colț	ișor
contișor	1	1		cont	ișor
corbișor	1	1		corb	ișor
cornișor	1	1		corn	ișor
cotișor	1	1		cot	ișor
crețișor	1	1	planta	creț	ișor
crăișor	1	1		crai	ișor
cuișor	1	1		cui	ișor
cuscrișor	1	1		cuscru	ișor
cârdișor	1	1		cârd	ișor
căișor	1	1		cal	ișor
dințișor	1	1		dinte	ișor
domnișor	1	1		domn	ișor
dulcișor	1	1		dulce	ișor
firișor	1	1		fir	ișor
fânișor	1	1		fân	ișor
gerișor	1	1		ger	ișor
gâtișor	1	1		gât	ișor
iezișor	1	1		ied	ișor
inișor	1	1		in	ișor
lemnișor	1	1		lemn	ișor
lutișor	1	1		lut	ișor
lănțișor	1	1		lanț	ișor
lăptișor	1	1		lapte	ișor
lățișor	1	1		laț	ișor
meișor	1	1		mei	ișor
melcișor	1	1		melc	ișor
merișor	1	1		măr	ișor
muntișor	1	1		munte	ișor
mândrișor	1	1		mândru	ișor
mânzișor	1	1		mânz	ișor
mâțișor	1	1		mâț	ișor
mărțișor	1	1		marț	ișor
mățișor	1	1		maț	ișor
negrișor	1	1		negru	ișor
nemțișor	1	1		neamț	ișor
nenișor	1	1		nene	ișor
norișor	1	1		nor	ișor
ochișor	1	1		ochi	ișor
orzișor	1	1		orz	ișor
osișor	1	1		os	ișor
perișor	1	1		păr	ișor
peștișor	1	1		pește	ișor
plumbișor	1	1		plumb	ișor
plăișor	1	1		plai	ișor
podișor	1	1		pod	ișor
pomișor	1	1		pom	ișor
prințișor	1	1		prinț	ișor
prundișor	1	1		prund	ișor
prunișor	1	1		prun	ișor
prânzișor	1	1		prânz	ișor
puișor	1	1		pui	ișor
pumnișor	1	1		pumn	ișor
punctișor	1	1		punct	ișor
păișor	1	1		pai	ișor
pătișor	1	1		pat	ișor
pătrișor	1	1		patru	ișor
rutișor	1	1	plantă	rută	ișor
scorțișor	1	1		scoarță	ișor
sculișor	1	1		scul	ișor
sfertișor	1	1		sfert	ișor
sfințișor	1	1		sfânt	ișor
sfănțișor	1	1		sfanț	ișor
solzișor	1	1		solz	ișor
somnișor	1	1		somn	ișor
spinișor	1	1		spin	ișor
stolișor	1	1		stol	ișor
stosișor	1	1		stos	ișor
struțișor	1	1		struț	ișor
sturzișor	1	1		sturz	ișor
stâlpișor	1	1		stâlp	ișor
sânișor	1	1		sân	ișor
sătișor	1	1		sat	ișor
teișor	1	1		tei	ișor
tigrișor	1	1		tigru	ișor
tronișor	1	1		tron	ișor
turnișor	1	1		turn	ișor
tătișor	1	1		tată	ișor
ulișor	1	1		uliu	ișor
unchișor	1	1		unchi	ișor
untișor	1	1		unt	ișor
verișor	1	1		văr	ișor
verzișor	1	1		verde	ișor
viermișor	1	1		vierme	ișor
vinișor	1	1		vin	ișor
vântișor	1	1		vânt	ișor
zimțișor	1	1		zimț	ișor
șerpișor	1	1		șarpe	ișor
șoimișor	1	1		șoim	ișor
șănțișor	1	1		șanț	ișor
bel	0
fel	0
gel	0
tel	0
zel	0
țel	0
